rank,name,confed,off,def,spi
1,Spain,UEFA,3.52,0.5,92.65
2,Brazil,CONMEBOL,2.88,0.37,90.29
3,Belgium,UEFA,3.12,0.56,89.25
4,Germany,UEFA,3.08,0.61,88.12
5,Argentina,CONMEBOL,2.67,0.41,88.04
6,France,UEFA,2.75,0.53,86.52
7,England,UEFA,2.63,0.5,86.0
8,Netherlands,UEFA,2.69,0.54,85.85
9,Portugal,UEFA,2.62,0.5,85.81
10,Italy,UEFA,2.4,0.5,83.57
11,Colombia,CONMEBOL,2.21,0.4,83.26
12,Uruguay,CONMEBOL,2.37,0.5,83.16
13,Switzerland,UEFA,2.45,0.68,80.37
14,Croatia,UEFA,2.45,0.85,77.07
15,Mexico,CONCACAF,2.22,0.73,76.4
16,Russia,UEFA,2.29,0.79,76.05
17,Chile,CONMEBOL,2.13,0.7,75.78
18,Denmark,UEFA,1.99,0.61,75.51
19,Austria,UEFA,2.14,0.77,74.25
20,Sweden,UEFA,1.94,0.7,72.56
21,Peru,CONMEBOL,1.87,0.68,71.9
22,Ukraine,UEFA,1.87,0.69,71.6
23,Norway,UEFA,2.03,0.82,71.4
24,Czech Republic,UEFA,2.07,0.86,71.05
25,Algeria,CAF,1.94,0.76,71.02
26,Poland,UEFA,1.87,0.74,70.35
27,Japan,AFC,1.94,0.8,70.23
28,Venezuela,CONMEBOL,1.9,0.77,70.17
29,Serbia,UEFA,2.05,0.9,69.8
30,Senegal,CAF,1.67,0.62,69.73
31,USA,CONCACAF,1.84,0.75,69.54
32,Morocco,CAF,1.68,0.65,69.08
33,Bosnia and Herzegovina,UEFA,1.98,0.9,68.55
34,Wales,UEFA,1.69,0.69,68.41
35,Ghana,CAF,1.53,0.57,68.24
36,Paraguay,CONMEBOL,1.75,0.75,68.07
37,Ecuador,CONMEBOL,1.81,0.8,67.79
38,Iran,AFC,1.71,0.73,67.62
39,Australia,AFC,1.92,0.9,67.34
40,Turkey,UEFA,1.7,0.77,66.53
41,Mali,CAF,1.57,0.71,65.33
42,Nigeria,CAF,1.87,1.05,63.23
43,Romania,UEFA,1.75,0.95,63.14
44,Tunisia,CAF,1.57,0.81,62.67
45,South Korea,AFC,1.48,0.74,62.52
46,Costa Rica,CONCACAF,1.62,0.89,61.93
47,Greece,UEFA,1.49,0.79,61.71
48,Ivory Coast,CAF,1.63,0.91,61.6
49,Slovakia,UEFA,1.76,1.05,61.16
50,Finland,UEFA,1.58,0.93,59.96
51,Canada,CONCACAF,1.82,1.16,59.71
52,Iceland,UEFA,1.65,1.01,59.61
53,Scotland,UEFA,1.6,0.97,59.43
54,Iraq,AFC,1.46,0.86,59.17
55,Cameroon,CAF,1.34,0.77,58.85
56,Egypt,CAF,1.49,0.91,58.7
57,Qatar,AFC,1.61,1.02,58.57
58,Hungary,UEFA,1.59,1.03,57.98
59,Slovenia,UEFA,1.42,0.91,57.02
60,Israel,UEFA,1.65,1.15,56.36
61,Rep of Ireland,UEFA,1.35,0.87,56.31
62,Northern Ireland,UEFA,1.43,0.97,55.66
63,Uzbekistan,AFC,1.52,1.06,55.65
64,Uganda,CAF,1.23,0.8,55.18
65,Honduras,CONCACAF,1.6,1.16,55.12
66,Guinea,CAF,1.45,1.05,54.43
67,Congo DR,CAF,1.45,1.06,54.13
68,Georgia,UEFA,1.4,1.02,53.91
69,Burkina Faso,CAF,1.3,0.93,53.75
70,Kosovo,UEFA,1.49,1.12,53.68
71,Zambia,CAF,1.58,1.2,53.67
72,Bolivia,CONMEBOL,1.54,1.19,53.1
73,Saudi Arabia,AFC,1.57,1.22,53.09
74,Gabon,CAF,1.19,0.94,50.81
75,Haiti,CONCACAF,1.47,1.23,50.56
76,Panama,CONCACAF,1.29,1.09,49.55
77,South Africa,CAF,1.34,1.15,49.51
78,Montenegro,UEFA,1.3,1.11,49.42
79,China PR,AFC,1.2,1.02,49.21
80,FYR Macedonia,UEFA,1.27,1.12,48.66
81,Belarus,UEFA,1.21,1.05,48.6
82,Bahrain,AFC,1.13,0.97,48.51
83,Zimbabwe,CAF,1.38,1.23,48.45
84,Libya,CAF,1.36,1.24,47.93
85,Albania,UEFA,1.21,1.1,47.43
86,Jamaica,CONCACAF,1.31,1.22,47.08
87,Benin,CAF,1.19,1.11,46.69
88,Bulgaria,UEFA,1.19,1.12,46.52
89,Tanzania,CAF,1.26,1.21,46.31
90,Kenya,CAF,1.11,1.05,46.1
91,Angola,CAF,1.18,1.13,46.05
92,Togo,CAF,1.16,1.13,45.66
93,Armenia,UEFA,1.53,1.54,45.53
94,Congo,CAF,1.27,1.27,45.12
95,New Zealand,OFC,1.26,1.3,44.18
96,Guatemala,CONCACAF,1.3,1.35,44.0
97,Cape Verde Islands,CAF,1.11,1.16,43.81
98,El Salvador,CONCACAF,1.07,1.15,42.72
99,Madagascar,CAF,1.29,1.45,41.92
100,Curacao,CONCACAF,1.29,1.47,41.53
101,Jordan,AFC,0.96,1.08,41.38
102,Oman,AFC,1.08,1.24,41.19
103,Mauritania,CAF,0.99,1.19,39.89
104,Malawi,CAF,0.7,0.84,39.67
105,Mozambique,CAF,1.1,1.35,39.43
106,United Arab Emirates,AFC,1.07,1.31,39.38
107,Gambia,CAF,1.15,1.41,39.31
108,Luxembourg,UEFA,1.18,1.44,39.29
109,Kuwait,AFC,1.06,1.34,38.47
110,Namibia,CAF,0.79,1.03,37.72
111,Equatorial Guinea,CAF,0.98,1.29,37.6
112,Liberia,CAF,1.05,1.37,37.46
113,Kazakhstan,UEFA,1.1,1.45,37.37
114,Trinidad and Tobago,CONCACAF,1.09,1.44,37.24
115,Botswana,CAF,0.74,1.01,36.94
116,Syria,AFC,1.39,1.84,36.68
117,Rwanda,CAF,0.76,1.07,36.2
118,Cyprus,UEFA,1.02,1.41,36.06
119,Cuba,CONCACAF,0.89,1.31,34.58
120,Azerbaijan,UEFA,0.92,1.4,33.75
121,Estonia,UEFA,0.83,1.29,33.5
122,Sudan,CAF,0.81,1.28,33.26
123,Bermuda,CONCACAF,1.19,1.82,32.69
124,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
125,Lesotho,CAF,0.85,1.37,32.54
126,Lebanon,AFC,0.58,1.02,32.11
127,Guinea-Bissau,CAF,0.96,1.56,31.83
128,Vietnam,AFC,0.68,1.19,31.55
129,Lithuania,UEFA,0.96,1.57,31.47
130,Dominican Republic,CONCACAF,1.1,1.78,31.24
131,Moldova,UEFA,0.82,1.42,30.98
132,Sierra Leone,CAF,0.99,1.67,30.55
133,Ethiopia,CAF,0.73,1.31,30.45
134,Central African Republic,CAF,1.04,1.75,30.27
